date,count,day_of_week,Public Holiday
2021-06-04,1945,Friday,Working Day
2021-06-05,1937,Saturday,Working Day
2021-06-06,1303,Sunday,Working Day
2021-06-07,2293,Monday,Working Day
2021-06-08,2306,Tuesday,Working Day
2021-06-09,2228,Wednesday,Working Day
2021-06-10,2260,Thursday,Working Day
2021-06-11,2287,Friday,Working Day
2021-06-12,2342,Saturday,Working Day
2021-06-13,1290,Sunday,Working Day
2021-06-14,2434,Monday,Working Day
2021-06-15,2465,Tuesday,Working Day
2021-06-16,2350,Wednesday,Working Day
2021-06-17,2522,Thursday,Working Day
2021-06-18,2429,Friday,Working Day
2021-06-19,2430,Saturday,Working Day
2021-06-20,1306,Sunday,Working Day
2021-06-21,2717,Monday,Working Day
2021-06-22,2720,Tuesday,Working Day
2021-06-23,2491,Wednesday,Working Day
2021-06-24,2635,Thursday,Working Day
2021-06-25,2723,Friday,Working Day
2021-06-26,2688,Saturday,Working Day
2021-06-27,1296,Sunday,Working Day
2021-06-28,3226,Monday,Working Day
2021-06-29,3575,Tuesday,Working Day
2021-06-30,3527,Wednesday,Working Day
2021-07-01,3526,Thursday,Working Day
2021-07-02,3369,Friday,Working Day
2021-07-03,3457,Saturday,Working Day
2021-07-04,1367,Sunday,Working Day
2021-07-05,4081,Monday,Working Day
2021-07-06,4186,Tuesday,Working Day
2021-07-07,3974,Wednesday,Working Day
2021-07-08,4133,Thursday,Working Day
2021-07-09,3678,Friday,Working Day
2021-07-10,3902,Saturday,Working Day
2021-07-11,1437,Sunday,Working Day
2021-07-12,4453,Monday,Working Day
2021-07-13,4383,Tuesday,Working Day
2021-07-14,4053,Wednesday,Working Day
2021-07-15,4108,Thursday,Working Day
2021-07-16,3652,Friday,Working Day
2021-07-17,3543,Saturday,Working Day
2021-07-18,1408,Sunday,Working Day
2021-07-19,4598,Monday,Working Day
2021-07-20,4286,Tuesday,Working Day
2021-07-21,4560,Wednesday,Bakrid (Idul Azha)
2021-07-22,4245,Thursday,Working Day
2021-07-23,3915,Friday,Working Day
2021-07-24,4066,Saturday,Working Day
2021-07-25,1438,Sunday,Working Day
2021-07-26,4690,Monday,Working Day
2021-07-27,4591,Tuesday,Working Day
2021-07-28,4301,Wednesday,Working Day
2021-07-29,4364,Thursday,Working Day
2021-07-30,3909,Friday,Working Day
2021-07-31,3837,Saturday,Working Day
2021-08-01,1538,Sunday,Working Day
2021-08-02,4298,Monday,Working Day
2021-08-03,3394,Tuesday,Working Day
2021-08-04,4504,Wednesday,Working Day
2021-08-05,4806,Thursday,Working Day
2021-08-06,4397,Friday,Working Day
2021-08-07,4118,Saturday,Working Day
2021-08-08,1567,Sunday,Working Day
2021-08-09,4563,Monday,Working Day
2021-08-10,4554,Tuesday,Working Day
2021-08-11,4253,Wednesday,Working Day
2021-08-12,4373,Thursday,Working Day
2021-08-13,3909,Friday,Working Day
2021-08-14,4103,Saturday,Working Day
2021-08-15,1581,Sunday,Independence Day
2021-08-16,4515,Monday,Working Day
2021-08-17,4231,Tuesday,Working Day
2021-08-18,3920,Wednesday,Working Day
2021-08-19,3732,Thursday,Working Day
2021-08-20,3410,Friday,Muharram
2021-08-21,3729,Saturday,Working Day
2021-08-22,1543,Sunday,Working Day
2021-08-23,4627,Monday,Working Day
2021-08-24,4358,Tuesday,Working Day
